No,Year_of_survey,District,lat,lon,CBSD_Severity,CBSD_Incidence,CMD_Mean_Severity ,CMD Incidence,Adult_Whitefly_Population,Mean_adult_whitefly_per_Plant
326,2008,Mukono,0.26215,32.85554,2,100,2,20,501,33.4
327,2008,Mukono,0.25298,32.90052,2,43.3,0,0,60,4
328,2008,Mukono,0.26653,32.81138,2,70,2,16.7,33,2.2
329,2008,Mukono,0.27443,32.92422,0,0,0,0,124,8.3
330,2008,Mukono,0.2851,32.79132,0,0,0,0,200,13.3
331,2008,Mukono,0.26082,32.92377,0,0,0,0,101,6.7
332,2008,Mukono,0.24686,32.86819,0,0,0,0,319,21.3
333,2008,Mukono,0.24636,32.91518,2,43.3,2.33,10,237,15.8
334,2008,Nakasongola,1.03739,32.46833,0,0,2.33,10,492,32.8
335,2008,Nakasongola,1.06443,32.46647,2,33.3,0,0,27,1.8
336,2008,Nakasongola,1.08707,32.46627,0,0,3,100,110,7.3
337,2008,Nakasongola,1.11938,32.46564,0,0,2,6.7,277,18.5
338,2008,Nakasongola,1.40764,32.2693,0,0,0,0,23,1.5
339,2008,Nakasongola,1.40202,32.30351,0,0,2.57,46.7,62,4.1
340,2008,Nakasongola,1.40986,32.25494,0,0,0,0,11,0.7
341,2008,Nakasongola,1.4994,32.12718,0,0,2.93,50,55,3.7
342,2008,Nakasongola,1.50334,32.11212,0,0,2.69,53.3,581,38.7
343,2008,Nakasongola,1.50747,32.09534,0,0,0,0,287,19.1
344,2008,Nakasongola,1.51682,32.06426,0,0,3,30,301,20.1
345,2008,Nakasongola,1.36052,32.36765,0,0,2.65,86.7,269,17.9
346,2008,Nakasongola,1.35665,32.37489,0,0,2.93,46.7,123,8.2
347,2008,Nakasongola,1.34487,32.38839,0,0,2.89,30,70,4.7
348,2008,Nakasongola,1.3396,32.39962,0,0,2,3.3,7,0.5
349,2008,Nakasongola,1.25547,32.46218,0,0,0,0,169,11.3
350,2008,Nakasongola,1.29105,32.46524,0,0,0,0,34,2.3
351,2008,Nakasongola,1.24156,32.46174,0,0,2.78,30,50,3.3
352,2008,Nakasongola,1.21088,32.46374,0,0,2,3.3,28,1.9
353,2008,Nakasongola,1.19742,32.46237,0,0,2,20,264,17.6
354,2008,Nebbi,2.50099,31.11962,0,0,0,0,4,0.3
355,2008,Nebbi,2.51773,31.13052,0,0,3.61,66.7,6,0.4
356,2008,Nebbi,2.5465,31.03402,0,0,0,0,8,0.5
357,2008,Nebbi,2.53263,31.08132,0,0,0,0,6,0.4
358,2008,Nebbi,2.50416,31.00195,0,0,3.04,86.7,22,1.5
359,2008,Nebbi,2.48088,31.19456,0,0,2.5,6.7,7,0.5
360,2008,Nebbi,2.81245,31.19857,0,0,2,3.3,6,0.4
361,2008,Nebbi,2.54359,31.23492,0,0,2.96,76.7,5,0.3
362,2008,Nebbi,2.55775,31.24088,0,0,3,6.7,7,0.5
363,2008,Nebbi,2.57482,31.25047,0,0,2.71,23.3,8,0.5
364,2008,Nebbi,2.5954,31.25742,0,0,2.38,73.3,6,0.4
365,2008,Nebbi,2.45567,31.19643,0,0,2.94,53.3,6,0.4
366,2008,Nebbi,2.4348,31.20966,0,0,2.9,100,8,0.5
367,2008,Nebbi,2.42369,31.23619,0,0,2.25,53.3,13,0.9
368,2008,Pader,2.96427,32.69414,0,0,0,0,9,0.6
369,2008,Pader,2.9963,32.73199,0,0,3,100,23,1.5
370,2008,Pader,3.16996,32.91966,0,0,0,0,31,2.1
371,2008,Pader,3.11366,32.9152,0,0,2.91,76.7,23,1.5
372,2008,Pader,3.01564,32.9253,0,0,2.97,100,5,0.3
373,2008,Pader,3.0003,32.8874,0,0,3.17,80,39,2.6
374,2008,Pader,2.97162,32.93545,0,0,0,0,14,0.9
375,2008,Pader,2.92984,32.94691,0,0,2,3.3,5,0.3
376,2008,Pader,2.89386,33.1038,0,0,0,0,13,0.9
